2167,4,453900
1663,4,383900
2463,4,423000
1479,3,286000
3063,5,593900
2048,5,353900
1597,4,368900
1490,4,252999
1443,4,266000
1557,4,296500
2003,5,293999
2063,4,401000
1953,4,383999
4541,6,753900
1331,4,313900
2363,5,503900
1383,3,353900
1299,4,253900
2672,5,553998
3094,5,653000
1830,4,306900
1951,3,309000
1667,4,296900
2025,5,313900
3953,4,627900
1163,4,303900
1521,4,518500
2589,4,523000
2263,4,529000
2700,4,353900
1902,3,403900
1063,2,223900
2103,5,368900
3200,4,633900
1874,5,339900
1500,4,303900
1302,4,283900
2195,5,399000
4278,5,603000
2225,5,341000
1727,3,422500
2301,4,383900
2630,5,368000
1263,4,353000
915,3,233900
1915,5,353900
1266,4,293500
